,incident_latitude,incident_longitude,date,temperature (degC),wind_speed (m/s),total_precipitation (mm of water equivalent),relative_humidity (0-1),surface_pressure (Pa),humidex (degC),County,latitude,longitude,y,month,year
Kings-2014-07,0.0,0.0,2014-07,17.365806451612894,3.523548387096775,0.08064516129032256,0.7783870967741934,101188.01741935484,20.453225806451613,Kings,35.64587682582313,-120.48996071435896,False,07,2014
Kings-2014-08,0.0,0.0,2014-08,15.188387096774195,4.4487096774193535,0.13999999999999993,0.7535483870967742,100596.84709677416,16.913870967741932,Kings,35.8836965692681,-119.8958742045512,False,08,2014
Kings-2014-09,0.0,0.0,2014-09,14.467666666666668,2.86,0.04466666666666667,0.8493333333333332,101663.31033333334,16.759000000000004,Kings,35.1800838454374,-119.85191488506857,False,09,2014
Kings-2014-10,0.0,0.0,2014-10,12.404838709677415,5.216129032258063,0.10419354838709677,0.8403225806451612,100666.75935483874,13.642258064516124,Kings,36.074201146687706,-119.20767313510278,False,10,2014
Kings-2014-11,0.0,0.0,2014-11,8.745,4.117333333333333,0.0983333333333333,0.9056666666666668,100331.82599999996,8.910333333333334,Kings,35.76977786242886,-119.13294294642934,False,11,2014
Kings-2014-12,0.0,0.0,2014-12,5.46516129032258,5.719032258064518,0.06548387096774194,0.8451612903225805,101201.70129032258,4.201290322580643,Kings,36.75737599083417,-119.25652665611558,False,12,2014
Kings-2015-01,0.0,0.0,2015-01,4.398064516129033,6.3164516129032275,0.046451612903225824,0.8296774193548387,100640.12193548382,2.7245161290322586,Kings,36.068728660723124,-120.08196869710488,False,01,2015
Kings-2015-02,0.0,0.0,2015-02,4.232499999999999,4.948214285714286,0.06142857142857144,0.834642857142857,101165.75607142858,2.532142857142857,Kings,35.55311975934722,-120.46027591643978,False,02,2015
Kings-2015-03,0.0,0.0,2015-03,6.274516129032259,5.266451612903227,0.05258064516129032,0.763548387096774,101527.54967741936,4.76516129032258,Kings,36.1519095739407,-119.85452736602733,False,03,2015
Kings-2015-04,0.0,0.0,2015-04,8.527000000000001,3.386666666666668,0.03166666666666667,0.7423333333333332,101761.73333333334,7.590333333333334,Kings,35.62388508878486,-119.23117330314382,False,04,2015
